Title,Source title,Year,DOI,Cited by,term_loc
Challenges of long-term care provisions for the elderly in urban China,China: An International Journal,2014,10.1353/chn.2014.0011,18,abstract
A Cost-effectiveness Analysis of Antipsychotics for Treatment of Schizophrenia in Uganda,Applied Health Economics and Health Policy,2015,10.1007/s40258-015-0176-3,12,INDEX_KW_ONLY
Evaluating the Long-Term Health Economic Implications of Improving the Proportion of Patients with Type 2 Diabetes Meeting Treatment Targets in Mexico,Value in Health Regional Issues,2015,10.1016/j.vhri.2015.01.001,3,abstract
"The pillars of a new humanism: Ceilings or transition? Where is the crisis leading?; [Les piliers d'un nouvel humanisme: Plafonds ou transition, quel à-venir à la crise?]",Futuribles: Analyse et Prospective,2013,,1,abstract
Corruption as an obstacle to development in developing countries: a review of literature,Journal of Money Laundering Control,2011,10.1108/13685201111173857,86,abstract
Forecasting German life expectancy: A comparison of several methods; [Zur Prognose der Lebenserwartung in Deutschland: Ein Vergleich verschiedener Verfahren],AStA Wirtschafts- und Sozialstatistisches Archiv,2011,10.1007/s11943-011-0108-0,4,title
Demographic policy in Russia's northern regions: Features and priorities,Regional Research of Russia,2012,10.1134/S2079970512020086,0,author_kw
Trends in the 2012 Eisai oncology digest: Counseling and communication of cancer treatment,American Journal of Pharmacy Benefits,2012,,1,INDEX_KW_ONLY
Environmentally efficient well-being: Is there a Kuznets curve?,Applied Geography,2012,10.1016/j.apgeog.2010.10.011,223,abstract
How to take into account citizens’ preferences when making decisions on reimbursing for a new treatment; [Comment prendre en compte les préférences des citoyens dans la décision de rembourser un nouveau traitement1],Reflets et Perspectives de la Vie Economique,2014,10.3917/rpve.534.0035,0,abstract
HIV/AIDS & macroeconomic performance: Empirical evidence from Kenya,"Scientific Papers of the University of Pardubice, Series D: Faculty of Economics and Administration",2016,,0,abstract
Consumers' awareness towards organic food products in Coimbatore District,Indian Journal of Marketing,2015,10.17010/ijom/2015/v45/i12/83996,11,abstract
Economic analysis of heart and stroke foundation of Ontario's hypertension management initiative,ClinicoEconomics and Outcomes Research,2012,10.2147/ceor.s33390,3,abstract
Malaysian women and their role as the sandwiched generation,Pertanika Journal of Social Sciences and Humanities,2013,,3,abstract
Assessing and mapping human well-being for sustainable development amid flood hazards: Poyang Lake Region of China,Applied Geography,2015,10.1016/j.apgeog.2015.06.007,22,abstract
Model performance evaluation (validation and calibration) in model-based studies of therapeutic interventions for cardiovascular diseases: A review and suggested reporting framework,Applied Health Economics and Health Policy,2013,10.1007/s40258-013-0012-6,21,INDEX_KW_ONLY
How long should an individual at full retirement age delay receiving social security benefits?,Journal of Applied Business Research,2012,10.19030/jabr.v28i3.6950,0,abstract
External Costs of Smoking in Germany; [Die externen Kosten des Rauchens in Deutschland],Wirtschaftsdienst,2015,10.1007/s10273-015-1867-y,2,abstract
Personal longevity risk: Defined contribution pensions and the introduction of an equilibrium retirement age,Pensions,2012,10.1057/pm.2012.19,1,abstract
Quantifying the value of time,Contract Pharma,2014,,0,INDEX_KW_ONLY
Heterogeneous rates of time preference and the decision to smoke,Economic Inquiry,2011,10.1111/j.1465-7295.2009.00191.x,49,INDEX_KW_ONLY
Reducing poverty in Timor-Leste through stimulating growth and structural change,Institutions and Economies,2015,,7,abstract
How much can we trust life tables? Sensitivity of mortality measures to right-censoring treatment,Palgrave Communications,2016,10.1057/palcomms.2015.49,17,abstract
Socioeconomic inequalities in death from past to present: An introduction,Explorations in Economic History,2011,10.1016/j.eeh.2011.05.004,100,abstract
Evaluating the impact of recent advances in biomedical sciences and the possible mortality decreases on the future of health care and Social Security in the United States,Pensions,2012,10.1057/pm.2012.28,8,author_kw
"The development of a care-focused, adherence-tracking dispensing database for HIV care in a resource-constrained setting",Journal of Pharmaceutical Health Services Research,2013,10.1111/jphs.12002,1,INDEX_KW_ONLY
The effects of national culture and human development on environmental health,"Environment, Development and Sustainability",2014,10.1007/s10668-013-9464-y,47,abstract
Cost-effectiveness of docetaxel-cyclophosphamide versus doxorubicin-cyclophosphamide for breast cancer,American Journal of Pharmacy Benefits,2011,,2,abstract
The Cost of Long-Term Care in the Spanish Population: Comparative Analysis between 1999 and 2008; [El coste de los cuidados de larga duración en la población española: Análisis comparativo entre los años 1999 y 2008],Revista de Metodos Cuantitativos para la Economia y la Empresa,2011,,4,author_kw
Cost-effectiveness of extended-release niacin/laropiprant added to a stable simvastatin dose in secondary prevention patients not at cholesterol goal in Germany,European Journal of Health Economics,2012,10.1007/s10198-011-0309-z,7,INDEX_KW_ONLY
Sociodemographic aspect of society evolution,Economy of Regions,2013,10.17059/2013-4-9,1,abstract
Italy's ageing workforce: Improving HRM practices can prevent skills shortages,Development and Learning in Organisations,2012,10.1108/14777281211225785,0,abstract
"Testing the red herring hypothesis on an aggregated level: Ageing, time-to-death and care costs for older people in Sweden",European Journal of Health Economics,2014,10.1007/s10198-013-0493-0,23,INDEX_KW_ONLY
"Assessment of adverse events and quality of life of cancer patients in a secondary level care, rural hospital in South India",Value in Health Regional Issues,2013,10.1016/j.vhri.2013.01.011,3,abstract
Well-being funding: Essence and estimation method,Rivista di Studi sulla Sostenibilita,2016,,0,abstract
Reviewing the unmet needs of patients with multiple sclerosis,American Health and Drug Benefits,2015,,18,INDEX_KW_ONLY
Production and consumption-based approaches for the environmental Kuznets curve using ecological footprint,Journal of Environmental Economics and Policy,2016,10.1080/21606544.2015.1090346,22,abstract
Avaliação comparativa de sistemas de saúde com a utilização de fronteiras estocásticas: Brasil e OCDE,Revista Brasileira de Economia,2012,10.1590/S0034-71402012000100001,5,abstract
Is the minimum amount of coverage from motor third party liability insurance enough to cover personal injuries?,International Journal of Risk Assessment and Management,2016,10.1504/IJRAM.2016.074439,2,abstract
Comparing and prioritizing the factors affecting purchase decisions in innovation adoption in a post-secondary educational setting,"Journal of Information, Information Technology, and Organizations",2011,,1,abstract
Globalization and Africa: implications for human development,International Journal of Development Issues,2013,10.1108/IJDI-10-2012-0064,39,abstract
Debating Belarus: An economy in comparative perspective,Eurasian Geography and Economics,2011,10.2747/1539-7216.52.6.750,30,abstract
Influence of Crimping Process Parameters on Vascular Prostheses Mechanical Performances,Research Journal of Textile and Apparel,2011,10.1108/RJTA-15-03-2011-B004,0,abstract
On Measuring Technical Efficiency of the Health System in India: An Application of Data Envelopment Analysis,Journal of Health Management,2015,10.1177/0972063415589229,32,abstract
Is the United States in the middle of a healthcare bubble?,European Journal of Health Economics,2016,10.1007/s10198-015-0668-y,7,INDEX_KW_ONLY
The nightmare of provision; [Der Vorsorge-Albtraum],Wirtschaftsdienst,2013,10.1007/s10273-013-1482-8,4,abstract
Statistical evaluation of football performance depending on the socio-economic development of countries,Statistical Journal of the IAOS,2016,10.3233/SJI-150952,8,abstract
Bare ownership of residential properties: Insights on two segments of the Italian market,International Journal of Housing Markets and Analysis,2016,10.1108/IJHMA-07-2015-0037,11,abstract
The long-run impacts of adult deaths on older household members in Tanzania,Economic Development and Cultural Change,2012,10.1086/662577,6,abstract
Deficit in human potential as a threat to modernization,Regional Research of Russia,2012,10.1134/S2079970512030033,3,abstract
The competitiveness of the Republic of Tatarstan as a center of urban tourism of the Russian Federation,International Business Management,2016,10.3923/ibm.2016.5596.5598,2,abstract
Cure de jouvence pour les retraites: Les grandes orientations,Reflets et Perspectives de la Vie Economique,2011,10.3917/rpve.503.0165,1,abstract
Informed by gender? Public policy in Kerala,Economic and Political Weekly,2011,,6,abstract
Population dynamics in central and eastern europe in the first decade of the 21st century,Actual Problems of Economics,2015,,0,abstract
Environmental Kuznets Curve - a tie between environmental quality and economic prosperity; [Environmentální Kuznetsova Křivka - vztah mezi kvalitou životního prostředí a ekonomickou prosperitou],E a M: Ekonomie a Management,2011,,5,abstract
The biological standard of living and mortality in Central Italy at the beginning of the 19th century,Economics and Human Biology,2013,10.1016/j.ehb.2012.04.001,9,INDEX_KW_ONLY
Longevity insurance annuities: China adopts a benefit innovation from the past,International Social Security Review,2015,10.1111/issr.12063,3,abstract
A spatial approach in locating and explaining conflict hot spots in Nepal,Eurasian Geography and Economics,2014,10.1080/15387216.2014.956135,2,abstract
Population aging and risks of budget crisis,Voprosy Ekonomiki,2012,10.32609/0042-8736-2012-3-52-79,25,abstract
